REG_NOME,Valor2019,Valor2020,Valor2021,Valor2022
Verdes Campos,68.2,67.0,55.9,57.3
Entre Rios,75.7,72.7,82.4,64.0
Fronteira Oeste,68.8,66.4,64.9,68.3
Belas Praias,55.7,55.2,50.6,58.4
Bons Ventos,65.1,72.5,66.9,63.6
Vale do Paranhana e Costa Serra,50.0,53.6,60.7,58.9
Vale dos Sinos,70.9,69.7,66.6,56.1
Vale do Caí e Metropolitana,72.6,60.0,58.0,58.1
Carbonífera/Costa Doce,56.3,55.6,55.2,45.4
Capital e Vale do Gravataí,55.6,53.5,47.5,47.6
Sete Povos das Missões,42.7,55.7,59.5,53.5
Portal das Missões,69.6,81.5,71.9,62.2
Diversidade,72.1,65.1,67.6,55.9
Fronteira Noroeste,70.4,81.8,52.9,75.0
Caminho das Águas,53.6,56.0,81.5,72.7
Alto Uruguai Gaúcho,56.4,77.1,75.7,53.5
Planalto,71.2,63.5,56.3,60.8
Araucárias,59.1,33.3,70.6,54.5
Botucaraí,34.4,38.9,64.0,56.4
Rota da Produção,48.6,48.4,48.6,40.5
Sul,68.7,68.4,61.2,58.1
Pampa,75.0,78.9,81.4,77.8
Caxias e Hortênsias,65.7,60.8,57.4,62.5
Campos de Cima da Serra,53.8,42.9,50.0,34.7
Vinhedos e Basalto,64.0,71.3,59.4,53.1
Uva Vale,79.2,50.0,28.1,63.3
Jacuí Centro,59.7,67.4,62.5,40.4
Santa Cruz do Sul,84.3,72.2,67.9,60.4
Vales e Montanhas,56.3,71.0,44.4,52.3
Vale da Luz,58.3,56.0,60.0,60.0
